Problem name: dC_02
Number of times: 100
Lower value of k: -15.0
Upper value of k: 15.0
Times    b                                                                                  a 
1      002.000   0.272,0.188,0.208,0.283,0.136,0.050,0.131,0.285,0.241,0.033,0.081,0.242,0.163,0.166,0.028,0.144,0.149,0.280,0.074,0.046,0.277,0.285,0.144,0.152,0.090,0.240,0.174,0.130,0.157,0.035
2      000.450   0.028,0.131,0.208,0.050,0.285,0.283,0.188,0.136,0.241,0.033,0.081,0.242,0.074,0.035,0.272,0.144,0.046,0.280,0.163,0.149,0.157,0.285,0.144,0.152,0.090,0.240,0.174,0.130,0.277,0.166
3     -001.684   0.028,0.166,0.242,0.050,0.285,0.081,0.188,0.136,0.152,0.074,0.283,0.208,0.033,0.035,0.272,0.130,0.046,0.280,0.163,0.174,0.285,0.157,0.144,0.241,0.090,0.240,0.149,0.144,0.277,0.131
4     -009.200   0.028,0.242,0.166,0.136,0.163,0.081,0.280,0.050,0.152,0.283,0.074,0.035,0.033,0.208,0.272,0.130,0.046,0.188,0.285,0.157,0.090,0.174,0.144,0.241,0.285,0.240,0.149,0.144,0.277,0.131
5      001.521   0.144,0.241,0.166,0.136,0.285,0.081,0.033,0.050,0.152,0.090,0.074,0.188,0.280,0.272,0.208,0.130,0.285,0.035,0.163,0.157,0.283,0.174,0.144,0.242,0.046,0.240,0.149,0.028,0.277,0.131
6     -004.260   0.144,0.241,0.074,0.136,0.272,0.188,0.033,0.028,0.152,0.157,0.166,0.081,0.174,0.285,0.208,0.149,0.285,0.035,0.163,0.090,0.283,0.280,0.131,0.242,0.046,0.240,0.130,0.050,0.277,0.144
7     -006.746   0.144,0.285,0.074,0.157,0.280,0.240,0.033,0.152,0.028,0.136,0.050,0.208,0.174,0.285,0.081,0.149,0.241,0.035,0.163,0.090,0.283,0.272,0.131,0.242,0.130,0.188,0.046,0.166,0.277,0.144
8     -015.957   0.144,0.033,0.074,0.081,0.188,0.035,0.285,0.144,0.028,0.136,0.050,0.208,0.277,0.285,0.157,0.149,0.241,0.240,0.163,0.046,0.283,0.272,0.131,0.130,0.242,0.280,0.090,0.166,0.174,0.152
9     -016.654   0.144,0.136,0.285,0.081,0.188,0.035,0.285,0.277,0.174,0.033,0.050,0.163,0.144,0.074,0.157,0.283,0.241,0.090,0.208,0.046,0.149,0.272,0.166,0.130,0.242,0.280,0.240,0.131,0.028,0.152
10    -023.506   0.188,0.033,0.242,0.081,0.144,0.035,0.280,0.277,0.174,0.136,0.050,0.163,0.144,0.131,0.028,0.130,0.241,0.090,0.208,0.272,0.149,0.046,0.166,0.283,0.285,0.285,0.240,0.074,0.157,0.152
11    -030.304   0.285,0.033,0.242,0.081,0.130,0.285,0.280,0.277,0.152,0.136,0.131,0.240,0.166,0.050,0.028,0.144,0.241,0.090,0.208,0.157,0.149,0.046,0.144,0.283,0.188,0.035,0.163,0.074,0.272,0.174
