Problem name: dC_01
Number of times: 100
Lower value of k: -15.0
Upper value of k: 15.0
Times    b                                                                                  a 
1      002.000   0.020,0.188,0.183,0.124,0.003,0.175,0.179,0.091,0.274,0.196,0.059,0.166,0.171,0.159,0.223,0.202,0.213,0.250,0.257,0.277,0.076,0.106,0.208,0.229,0.051,0.208,0.252,0.154,0.096,0.223
2     -007.367   0.051,0.277,0.059,0.124,0.003,0.106,0.196,0.274,0.091,0.179,0.183,0.166,0.171,0.159,0.096,0.202,0.213,0.257,0.250,0.188,0.076,0.175,0.208,0.229,0.020,0.208,0.252,0.154,0.223,0.223
3     -001.695   0.096,0.159,0.059,0.124,0.208,0.252,0.196,0.274,0.091,0.179,0.257,0.223,0.171,0.277,0.051,0.202,0.250,0.183,0.213,0.188,0.208,0.175,0.003,0.229,0.020,0.076,0.106,0.154,0.166,0.223
4      008.635   0.096,0.051,0.059,0.213,0.166,0.076,0.196,0.250,0.091,0.175,0.188,0.202,0.171,0.277,0.159,0.223,0.274,0.183,0.124,0.257,0.208,0.179,0.003,0.229,0.020,0.252,0.106,0.154,0.208,0.223
5      012.865   0.250,0.252,0.003,0.213,0.166,0.091,0.196,0.096,0.076,0.175,0.188,0.179,0.171,0.277,0.159,0.154,0.274,0.020,0.257,0.124,0.208,0.202,0.059,0.229,0.183,0.051,0.106,0.223,0.208,0.223
6      010.414   0.250,0.252,0.003,0.154,0.051,0.091,0.196,0.076,0.096,0.175,0.179,0.188,0.171,0.277,0.208,0.213,0.274,0.020,0.257,0.208,0.159,0.223,0.059,0.183,0.229,0.166,0.106,0.223,0.124,0.202
7      008.868   0.051,0.252,0.003,0.154,0.250,0.179,0.257,0.188,0.223,0.175,0.091,0.076,0.166,0.277,0.208,0.213,0.274,0.106,0.196,0.229,0.159,0.096,0.059,0.183,0.208,0.171,0.020,0.223,0.124,0.202
8      001.481   0.051,0.175,0.003,0.229,0.250,0.179,0.257,0.183,0.196,0.252,0.091,0.213,0.166,0.208,0.208,0.076,0.274,0.106,0.223,0.154,0.159,0.202,0.059,0.188,0.277,0.171,0.020,0.124,0.223,0.096
9     -006.030   0.171,0.213,0.277,0.096,0.250,0.154,0.257,0.183,0.196,0.208,0.188,0.175,0.166,0.252,0.208,0.076,0.274,0.106,0.223,0.179,0.159,0.223,0.059,0.091,0.003,0.051,0.020,0.124,0.202,0.229
10    -005.868   0.183,0.213,0.277,0.208,0.250,0.252,0.223,0.171,0.091,0.096,0.188,0.175,0.208,0.154,0.166,0.076,0.274,0.106,0.223,0.202,0.229,0.257,0.059,0.196,0.003,0.051,0.020,0.124,0.179,0.159
11    -019.054   0.124,0.213,0.208,0.277,0.252,0.250,0.223,0.171,0.003,0.208,0.196,0.175,0.096,0.154,0.166,0.229,0.274,0.106,0.223,0.202,0.076,0.257,0.059,0.188,0.091,0.051,0.179,0.183,0.020,0.159
12    -022.309   0.124,0.003,0.208,0.277,0.252,0.171,0.223,0.250,0.213,0.183,0.154,0.175,0.096,0.196,0.051,0.059,0.274,0.106,0.223,0.076,0.202,0.257,0.229,0.188,0.159,0.166,0.179,0.208,0.020,0.091
13    -010.757   0.124,0.154,0.208,0.250,0.252,0.171,0.223,0.277,0.076,0.020,0.003,0.257,0.274,0.196,0.166,0.059,0.096,0.106,0.223,0.213,0.179,0.175,0.229,0.188,0.159,0.051,0.202,0.208,0.183,0.091
14    -011.757   0.124,0.154,0.208,0.076,0.252,0.171,0.223,0.277,0.250,0.020,0.159,0.179,0.274,0.208,0.166,0.202,0.091,0.106,0.223,0.213,0.257,0.229,0.175,0.051,0.003,0.188,0.059,0.196,0.183,0.096
